note classic_diff adapter_diff lib_diff first_half_frames_lib_diff freq classic adapter lib first_half_frames_lib
a2 59.786 107.571 52.880 9.923 110.000 169.786 217.571 162.880 100.077
b3 344.705 30.334 320.747 503.637 246.940 591.645 277.274 567.687 750.577
b4 14.727 242.163 6.521 6.505 493.880 508.607 251.717 487.359 500.385
c#6 0.967 893.167 47.723 57.922 1108.730 1109.697 215.563 1061.007 1050.808
c2 65.978 101.620 60.941 34.667 65.410 131.388 167.030 126.351 100.077
c3 14.971 88.981 8.981 19.305 130.810 145.781 219.791 139.791 150.115
d5 102.021 279.668 71.872 36.907 587.330 689.351 307.662 659.202 550.423
e3 189.881 168.852 175.762 135.421 164.810 354.691 333.662 340.572 300.231
e4 20.388 42.814 6.249 29.399 329.630 350.018 372.444 335.879 300.231
f2 118.591 144.668 110.600 62.805 87.310 205.901 231.978 197.910 150.115
g#5 3.739 507.167 37.619 29.995 830.610 826.871 323.443 792.991 800.615
g3 314.370 141.901 293.655 104.231 196.000 510.370 337.901 489.655 300.231
g2 546.188 259.808 520.009 252.269 98.000 644.188 357.808 618.009 350.269
